114	Huntsville	Alabama	200,574	180,105	+11.37%	213.4 sq mi	552.7 km2	905/sq mi	349/km2	34.6990°N 86.6730°W
115	Salt Lake City	Utah	200,567	186,440	+7.58%	111.2 sq mi	288.0 km2	1,742/sq mi	673/km2	40.7769°N 111.9310°W
116	Frisco	Texas	200,490	116,989	+71.38%	67.7 sq mi	175.3 km2	2,417/sq mi	933/km2	33.1554°N 96.8226°W
117	Yonkers	New York	200,370	195,976	+2.24%	18.0 sq mi	46.6 km2	11,156/sq mi	4,307/km2	40.9459°N 73.8674°W
118	Amarillo	Texas	199,371	190,695	+4.55%	101.4 sq mi	262.6 km2	1,968/sq mi	760/km2	35.1999°N 101.8302°W
119	Glendale	California	199,303	191,719	+3.96%	30.4 sq mi	78.7 km2	6,606/sq mi	2,551/km2	34.1814°N 118.2458°W
120	Huntington Beach	California	199,223	189,992	+4.86%	26.9 sq mi	69.7 km2	7,459/sq mi	2,880/km2	33.6906°N 118.0093°W
121	McKinney	Texas	199,177	131,117	+51.91%	63.0 sq mi	163.2 km2	2,735/sq mi	1,056/km2	33.1985°N 96.6680°W
122	Montgomery	Alabama	198,525	205,764	−3.52%	159.8 sq mi	413.9 km2	1,252/sq mi	483/km2	32.3472°N 86.2661°W
123	Augusta[t]	Georgia	197,888	195,844	+1.04%	302.5 sq mi	783.5 km2	652/sq mi	252/km2	33.3655°N 82.0734°W
124	Aurora	Illinois	197,757	197,899	−0.07%	44.9 sq mi	116.3 km2	4,479/sq mi	1,729/km2	41.7635°N 88.2901°W
125	Akron	Ohio	197,597	199,110	−0.76%	62.0 sq mi	160.6 km2	3,188/sq mi	1,231/km2	41.0805°N 81.5214°W
126	Little Rock	Arkansas	197,312	193,524	+1.96%	118.7 sq mi	307.4 km2	1,673/sq mi	646/km2	34.7254°N 92.3586°W
127	Tempe	Arizona	195,805	161,719	+21.08%	40.0 sq mi	103.6 km2	4,562/sq mi	1,761/km2	33.3884°N 111.9318°W
128	Columbus[u]	Georgia	195,769	189,885	+3.10%	216.4 sq mi	560.5 km2	913/sq mi	353/km2	32.5102°N 84.8749°W
129	Overland Park	Kansas	195,494	173,372	+12.76%	75.1 sq mi	194.5 km2	2,516/sq mi	971/km2	38.8890°N 94.6906°W
130	Grand Prairie	Texas	194,543	175,396	+10.92%	72.3 sq mi	187.3 km2	2,637/sq mi	1,018/km2	32.6869°N 97.0211°W
131	Tallahassee	Florida	194,500	181,376	+7.24%	100.4 sq mi	260.0 km2	1,901/sq mi	734/km2	30.4551°N 84.2534°W
132	Cape Coral	Florida	194,495	154,305	+26.05%	105.6 sq mi	273.5 km2	1,703/sq mi	658/km2	26.6432°N 81.9974°W
133	Mobile	Alabama	188,720	195,111	−3.28%	139.4 sq mi	361.0 km2	1,384/sq mi	534/km2	30.6684°N 88.1002°W
134	Knoxville	Tennessee	187,603	178,874	+4.88%	98.5 sq mi	255.1 km2	1,891/sq mi	730/km2	35.9707°N 83.9493°W
135	Shreveport	Louisiana	187,112	199,311	−6.12%	107.1 sq mi	277.4 km2	1,820/sq mi	700/km2	32.4669°N 93.7922°W
136	Worcester	Massachusetts	185,428	181,045	+2.42%	37.4 sq mi	96.9 km2	4,933/sq mi	1,905/km2	42.2695°N 71.8078°W
137	Ontario	California	185,010	163,924	+12.86%	49.9 sq mi	129.2 km2	3,471/sq mi	1,340/km2	34.0394°N 117.6042°W
138	Vancouver	Washington	184,463	161,791	+14.01%	46.9 sq mi	121.5 km2	3,728/sq mi	1,439/km2	45.6349°N 122.5957°W
139	Sioux Falls	South Dakota	183,793	153,888	+19.43%	75.4 sq mi	195.3 km2	2,312/sq mi	893/km2	43.5383°N 96.7320°W
140	Chattanooga	Tennessee	182,799	167,674	+9.02%	143.1 sq mi	370.6 km2	1,241/sq mi	479/km2	35.0660°N 85.2484°W
141	Brownsville	Texas	182,781	175,023	+4.43%	132.5 sq mi	343.2 km2	1,387/sq mi	536/km2	25.9991°N 97.4550°W
142	Fort Lauderdale	Florida	182,437	165,521	+10.22%	34.6 sq mi	89.6 km2	5,166/sq mi	1,995/km2	26.1412°N 80.1467°W
143	Providence	Rhode Island	179,883	178,042	+1.03%	18.4 sq mi	47.7 km2	9,740/sq mi	3,760/km2	41.8231°N 71.4188°W
144	Newport News[m]	Virginia	179,225	180,719	−0.83%	69.1 sq mi	179.0 km2	2,631/sq mi	1,016/km2	37.0762°N 76.5220°W
145	Rancho Cucamonga	California	177,603	165,269	+7.46%	40.0 sq mi	103.6 km2	4,413/sq mi	1,704/km2	34.1233°N 117.5642°W
146	Santa Rosa	California	176,753	167,815	+5.33%	41.3 sq mi	107.0 km2	4,241/sq mi	1,637/km2	38.4468°N 122.7061°W
147	Peoria	Arizona	175,961	154,065	+14.21%	175.7 sq mi	455.1 km2	934/sq mi	361/km2	33.7862°N 112.3080°W
148	Oceanside	California	175,742	167,086	+5.18%	41.3 sq mi	107.0 km2	4,249/sq mi	1,641/km2	33.2245°N 117.3062°W
149	Elk Grove	California	174,775	153,015	+14.22%	42.2 sq mi	109.3 km2	4,022/sq mi	1,553/km2	38.4146°N 121.3850°W
150	Salem	Oregon	174,365	154,637	+12.76%	48.6 sq mi	125.9 km2	3,445/sq mi	1,330/km2	44.9237°N 123.0232°W
151	Pembroke Pines	Florida	173,591	154,019	+12.71%	33.0 sq mi	85.5 km2	5,109/sq mi	1,973/km2	26.0210°N 80.3404°W
152	Eugene	Oregon	172,622	156,185	+10.52%	44.1 sq mi	114.2 km2	3,777/sq mi	1,458/km2	44.0567°N 123.1162°W
153	Garden Grove	California	171,644	170,883	+0.45%	18.0 sq mi	46.6 km2	9,714/sq mi	3,751/km2	33.7788°N 117.9605°W
154	Cary[v]	North Carolina	170,282	135,234	+25.92%	56.5 sq mi	146.3 km2	2,873/sq mi	1,109/km2	35.7809°N 78.8133°W
155	Fort Collins	Colorado	170,243	143,986	+18.24%	55.8 sq mi	144.5 km2	2,943/sq mi	1,136/km2	40.5482°N 105.0648°W
156	Corona	California	169,868	152,374	+11.48%	39.5 sq mi	102.3 km2	4,222/sq mi	1,630/km2	33.8620°N 117.5655°W
157	Springfield	Missouri	167,882	159,498	+5.26%	82.3 sq mi	213.2 km2	2,033/sq mi	785/km2	37.1942°N 93.2913°W
158	Jackson	Mississippi	160,628	173,514	−7.43%	111.0 sq mi	287.5 km2	1,524/sq mi	588/km2	32.3158°N 90.2128°W
159	Alexandria[m]	Virginia	159,428	139,966	+13.90%	15.0 sq mi	38.8 km2	10,387/sq mi	4,010/km2	38.8201°N 77.0841°W
160	Hayward	California	159,203	144,186	+10.42%	45.5 sq mi	117.8 km2	3,493/sq mi	1,349/km2	37.6287°N 122.1024°W
161	Clarksville	Tennessee	158,146	132,929	+18.97%	98.3 sq mi	254.6 km2	1,529/sq mi	590/km2	36.5664°N 87.3452°W
162	Lakewood	Colorado	157,935	142,980	+10.46%	42.9 sq mi	111.1 km2	3,599/sq mi	1,390/km2	39.6989°N 105.1176°W
163	Lancaster	California	157,601	156,633	+0.62%	94.3 sq mi	244.2 km2	1,698/sq mi	656/km2	34.6936°N 118.1753°W
164	Salinas	California	155,465	150,441	+3.34%	23.6 sq mi	61.1 km2	6,662/sq mi	2,572/km2	36.6902°N 121.6337°W
165	Palmdale	California	155,079	152,750	+1.52%	106.0 sq mi	274.5 km2	1,484/sq mi	573/km2	34.5910°N 118.1054°W
166	Hollywood	Florida	154,817	140,768	+9.98%	27.3 sq mi	70.7 km2	5,568/sq mi	2,150/km2	26.0310°N 80.1646°W
167	Springfield	Massachusetts	153,606	153,060	+0.36%	31.9 sq mi	82.6 km2	4,830/sq mi	1,860/km2	42.1155°N 72.5400°W
168	Macon[w]	Georgia	153,159	91,351	+67.66%	249.3 sq mi	645.7 km2	612/sq mi	236/km2	32.8088°N 83.6942°W
169	Kansas City[x]	Kansas	152,960	145,786	+4.92%	124.8 sq mi	323.2 km2	1,216/sq mi	470/km2	39.1225°N 94.7418°W
170	Sunnyvale	California	152,703	140,081	+9.01%	22.0 sq mi	57.0 km2	6,944/sq mi	2,681/km2	37.3858°N 122.0263°W
171	Pomona	California	151,691	149,058	+1.77%	23.0 sq mi	59.6 km2	6,630/sq mi	2,560/km2	34.0585°N 117.7611°W
172	Killeen	Texas	151,666	127,921	+18.56%	53.5 sq mi	138.6 km2	2,680/sq mi	1,030/km2	31.0777°N 97.7320°W
173	Escondido	California	151,625	143,911	+5.36%	37.1 sq mi	96.1 km2	4,087/sq mi	1,578/km2	33.1331°N 117.0740°W
174	Pasadena	Texas	151,227	149,043	+1.47%	43.5 sq mi	112.7 km2	3,525/sq mi	1,361/km2	29.6586°N 95.1506°W
175	Naperville	Illinois	148,449	141,853	+4.65%	38.7 sq mi	100.2 km2	3,802/sq mi	1,468/km2	41.7492°N 88.1620°W
176	Bellevue	Washington	148,164	122,363	+21.09%	33.5 sq mi	86.8 km2	4,221/sq mi	1,630/km2	47.5979°N 122.1565°W
177	Joliet	Illinois	147,344	147,433	−0.06%	64.4 sq mi	166.8 km2	2,302/sq mi	889/km2	41.5177°N 88.1488°W
178	Murfreesboro	Tennessee	146,900	108,755	+35.07%	55.9 sq mi	144.8 km2	2,360/sq mi	910/km2	35.8522°N 86.4160°W
179	Midland	Texas	146,038	111,147	+31.39%	74.4 sq mi	192.7 km2	1,809/sq mi	698/km2	32.0246°N 102.1135°W
180	Rockford	Illinois	145,609	152,871	−4.75%	63.5 sq mi	164.5 km2	2,325/sq mi	898/km2	42.2588°N 89.0646°W
181	Paterson	New Jersey	145,233	146,199	−0.66%	8.4 sq mi	21.8 km2	17,500/sq mi	6,800/km2	40.9148°N 74.1628°W
182	Savannah	Georgia	144,464	136,286	+6.00%	103.6 sq mi	268.3 km2	1,417/sq mi	547/km2	32.0025°N 81.1536°W
183	Bridgeport	Connecticut	144,399	144,229	+0.12%	16.1 sq mi	41.7 km2	9,064/sq mi	3,500/km2	41.1874°N 73.1958°W
184	Torrance	California	143,592	145,438	−1.27%	20.5 sq mi	53.1 km2	7,180/sq mi	2,770/km2	33.8350°N 118.3414°W
185	McAllen	Texas	143,268	129,877	+10.31%	58.4 sq mi	151.3 km2	2,435/sq mi	940/km2	26.2322°N 98.2464°W
186	Syracuse	New York	142,327	145,170	−1.96%	25.0 sq mi	64.7 km2	5,735/sq mi	2,214/km2	43.0410°N 76.1436°W
187	Surprise	Arizona	141,664	117,517	+20.55%	107.9 sq mi	279.5 km2	1,230/sq mi	470/km2	33.6706°N 112.4527°W
188	Denton	Texas	141,541	113,383	+24.83%	93.4 sq mi	241.9 km2	1,433/sq mi	553/km2	33.2166°N 97.1414°W
189	Roseville	California	141,500	118,788	+19.12%	43.0 sq mi	111.4 km2	3,085/sq mi	1,191/km2	38.7690°N 121.3189°W
190	Thornton	Colorado	141,464	118,772	+19.11%	35.7 sq mi	92.5 km2	3,829/sq mi	1,478/km2	39.9194°N 104.9428°W
191	Miramar	Florida	141,191	122,041	+15.69%	29.4 sq mi	76.1 km2	4,709/sq mi	1,818/km2	25.9770°N 80.3358°W
192	Pasadena	California	141,029	137,122	+2.85%	23.0 sq mi	59.6 km2	6,176/sq mi	2,385/km2	34.1606°N 118.1396°W
193	Mesquite	Texas	140,937	139,824	+0.80%	47.2 sq mi	122.2 km2	3,045/sq mi	1,176/km2	32.7629°N 96.5888°W
