37	Atlanta	Georgia	506,811	420,003	+20.67%	133.5 sq mi	345.8 km2	3,539/sq mi	1,366/km2	33.7629°N 84.4227°W
38	Kansas City	Missouri	495,327	459,787	+7.73%	315.0 sq mi	815.8 km2	1,528/sq mi	590/km2	39.1251°N 94.5510°W
39	Colorado Springs	Colorado	478,221	416,427	+14.84%	195.6 sq mi	506.6 km2	2,378/sq mi	918/km2	38.8673°N 104.7607°W
40	Omaha	Nebraska	478,192	408,958	+16.93%	133.2 sq mi	345.0 km2	3,356/sq mi	1,296/km2	41.2644°N 96.0451°W
41	Raleigh	North Carolina	474,069	403,892	+17.38%	145.1 sq mi	375.8 km2	3,163/sq mi	1,221/km2	35.8306°N 78.6418°W
42	Miami	Florida	467,963	399,457	+17.15%	36.0 sq mi	93.2 km2	12,599/sq mi	4,865/km2	25.7752°N 80.2086°W
43	Long Beach	California	462,628	462,257	+0.08%	50.3 sq mi	130.3 km2	9,347/sq mi	3,609/km2	33.8092°N 118.1553°W
44	Virginia Beach[m]	Virginia	449,974	437,994	+2.74%	244.7 sq mi	633.8 km2	1,850/sq mi	710/km2	36.7800°N 76.0252°W
45	Oakland	California	433,031	390,724	+10.83%	55.9 sq mi	144.8 km2	7,514/sq mi	2,901/km2	37.7698°N 122.2257°W
46	Minneapolis	Minnesota	429,606	382,578	+12.29%	54.0 sq mi	139.9 km2	7,660/sq mi	2,960/km2	44.9633°N 93.2683°W
47	Tulsa	Oklahoma	401,190	391,906	+2.37%	196.8 sq mi	509.7 km2	2,048/sq mi	791/km2	36.1279°N 95.9023°W
48	Tampa	Florida	399,700	335,709	+19.06%	113.4 sq mi	293.7 km2	3,326/sq mi	1,284/km2	27.9701°N 82.4797°W
49	Arlington	Texas	398,854	365,438	+9.14%	95.8 sq mi	248.1 km2	4,100/sq mi	1,600/km2	32.7007°N 97.1247°W
50	New Orleans[n]	Louisiana	390,144	343,829	+13.47%	169.4 sq mi	438.7 km2	2,311/sq mi	892/km2	30.0534°N 89.9345°W
51	Wichita	Kansas	389,938	382,368	+1.98%	160.4 sq mi	415.4 km2	2,431/sq mi	939/km2	37.6907°N 97.3459°W
52	Bakersfield	California	384,145	347,483	+10.55%	148.8 sq mi	385.4 km2	2,529/sq mi	976/km2	35.3212°N 119.0183°W
53	Cleveland	Ohio	381,009	396,815	−3.98%	77.7 sq mi	201.2 km2	4,965/sq mi	1,917/km2	41.4785°N 81.6794°W
54	Aurora	Colorado	379,289	325,078	+16.68%	153.5 sq mi	397.6 km2	2,356/sq mi	910/km2	39.6880°N 104.6897°W
55	Anaheim	California	350,365	336,265	+4.19%	50.0 sq mi	129.5 km2	7,021/sq mi	2,711/km2	33.8555°N 117.7601°W
56	Honolulu[b]	Hawaii	345,064	337,256	+2.32%	60.5 sq mi	156.7 km2	5,815/sq mi	2,245/km2	21.3243°N 157.8476°W
57	Santa Ana	California	332,318	324,528	+2.40%	27.1 sq mi	70.2 km2	12,333/sq mi	4,762/km2	33.7363°N 117.8830°W
58	Riverside	California	331,360	303,871	+9.05%	81.2 sq mi	210.3 km2	3,999/sq mi	1,544/km2	33.9381°N 117.3932°W
59	Corpus Christi	Texas	326,586	305,215	+7.00%	174.6 sq mi	452.2 km2	1,866/sq mi	720/km2	27.7543°N 97.1734°W
60	Lexington[o]	Kentucky	323,152	295,803	+9.25%	283.6 sq mi	734.5 km2	1,123/sq mi	434/km2	38.0407°N 84.4583°W
61	Henderson	Nevada	320,189	257,729	+24.23%	104.7 sq mi	271.2 km2	2,798/sq mi	1,080/km2	36.0097°N 115.0357°W
62	Stockton	California	312,697	291,707	+7.20%	61.7 sq mi	159.8 km2	4,977/sq mi	1,922/km2	37.9763°N 121.3133°W
63	Saint Paul	Minnesota	308,096	285,068	+8.08%	52.0 sq mi	134.7 km2	5,815/sq mi	2,245/km2	44.9489°N 93.1041°W
64	Cincinnati	Ohio	303,940	296,943	+2.36%	77.4 sq mi	200.5 km2	3,860/sq mi	1,490/km2	39.1402°N 84.5058°W
